
2023/07/16 (18:25:45) | ===> btop++ v.1.2.13
2023/07/16 (18:25:45) | INFO: Logger set to DEBUG
2023/07/16 (18:25:45) | DEBUG: Using locale en_US.UTF-8
2023/07/16 (18:25:45) | INFO: Running on /dev/pts/0
2023/07/16 (18:25:45) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/07/16 (18:28:44) | ===> btop++ v.1.2.13
2023/07/16 (18:28:44) | INFO: Logger set to DEBUG
2023/07/16 (18:28:44) | DEBUG: Using locale en_US.UTF-8
2023/07/16 (18:28:44) | INFO: Running on /dev/pts/0
2023/07/16 (18:28:44) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/07/16 (18:57:36) | ===> btop++ v.1.2.13
2023/07/16 (18:57:36) | INFO: Logger set to DEBUG
2023/07/16 (18:57:36) | DEBUG: Using locale en_US.UTF-8
2023/07/16 (18:57:36) | INFO: Running on /dev/pts/1
2023/07/16 (18:57:36) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/07/16 (19:20:08) | DEBUG: Writing new config file
2023/07/16 (19:20:08) | INFO: Quitting! Runtime: 00:22:32

2023/07/16 (20:48:11) | ===> btop++ v.1.2.13
2023/07/16 (20:48:11) | INFO: Logger set to DEBUG
2023/07/16 (20:48:11) | DEBUG: Using locale en_US.UTF-8
2023/07/16 (20:48:11) | INFO: Running on /dev/pts/1
2023/07/16 (20:48:11) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/07/16 (20:48:58) | DEBUG: Writing new config file
2023/07/16 (20:48:58) | INFO: Quitting! Runtime: 00:00:47

2023/07/17 (16:05:52) | ===> btop++ v.1.2.13
2023/07/17 (16:05:52) | INFO: Logger set to DEBUG
2023/07/17 (16:05:52) | DEBUG: Using locale en_US.UTF-8
2023/07/17 (16:05:52) | INFO: Running on /dev/pts/0
2023/07/17 (16:05:52) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/07/18 (10:59:37) | ===> btop++ v.1.2.13
2023/07/18 (10:59:37) | INFO: Logger set to DEBUG
2023/07/18 (10:59:37) | DEBUG: Using locale en_US.UTF-8
2023/07/18 (10:59:37) | INFO: Running on /dev/pts/6
2023/07/18 (10:59:37) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/07/20 (10:42:10) | ===> btop++ v.1.2.13
2023/07/20 (10:42:10) | INFO: Logger set to DEBUG
2023/07/20 (10:42:10) | DEBUG: Using locale en_US.UTF-8
2023/07/20 (10:42:10) | INFO: Running on /dev/pts/1
2023/07/20 (10:42:10) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/07/20 (10:42:17) | INFO: Quitting! Runtime: 00:00:07

2023/07/27 (15:16:06) | ===> btop++ v.1.2.13
2023/07/27 (15:16:06) | INFO: Logger set to DEBUG
2023/07/27 (15:16:06) | DEBUG: Using locale en_US.UTF-8
2023/07/27 (15:16:06) | INFO: Running on /dev/pts/0
2023/07/27 (15:16:06) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/07/27 (15:16:49) | DEBUG: Writing new config file
2023/07/27 (15:16:49) | INFO: Quitting! Runtime: 00:00:43

2023/07/28 (14:24:54) | ===> btop++ v.1.2.13
2023/07/28 (14:24:54) | INFO: Logger set to DEBUG
2023/07/28 (14:24:54) | DEBUG: Using locale en_US.UTF-8
2023/07/28 (14:24:54) | INFO: Running on /dev/pts/0
2023/07/28 (14:24:54) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/07/30 (15:54:17) | ===> btop++ v.1.2.13
2023/07/30 (15:54:17) | INFO: Logger set to DEBUG
2023/07/30 (15:54:17) | DEBUG: Using locale en_US.UTF-8
2023/07/30 (15:54:17) | INFO: Running on /dev/pts/4
2023/07/30 (15:54:17) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/08/10 (19:11:27) | ===> btop++ v.1.2.13
2023/08/10 (19:11:27) | INFO: Logger set to DEBUG
2023/08/10 (19:11:27) | DEBUG: Using locale en_US.UTF-8
2023/08/10 (19:11:27) | INFO: Running on /dev/pts/4
2023/08/10 (19:11:27) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/08/13 (17:01:00) | ===> btop++ v.1.2.13
2023/08/13 (17:01:00) | INFO: Logger set to DEBUG
2023/08/13 (17:01:00) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (17:01:00) | INFO: Running on /dev/pts/5
2023/08/13 (17:01:00) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/08/13 (17:54:02) | ===> btop++ v.1.2.13
2023/08/13 (17:54:02) | INFO: Logger set to DEBUG
2023/08/13 (17:54:02) | DEBUG: Using locale en_US.UTF-8
2023/08/13 (17:54:02) | INFO: Running on /dev/pts/5
2023/08/13 (17:54:02) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/08/14 (20:45:25) | ===> btop++ v.1.2.13
2023/08/14 (20:45:25) | INFO: Logger set to DEBUG
2023/08/14 (20:45:25) | DEBUG: Using locale en_US.UTF-8
2023/08/14 (20:45:25) | INFO: Running on /dev/pts/4
2023/08/14 (20:45:25) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/08/15 (16:41:54) | ===> btop++ v.1.2.13
2023/08/15 (16:41:54) | INFO: Logger set to DEBUG
2023/08/15 (16:41:54) | DEBUG: Using locale en_US.UTF-8
2023/08/15 (16:41:54) | INFO: Running on /dev/pts/2
2023/08/15 (16:41:54) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/08/17 (14:20:37) | ===> btop++ v.1.2.13
2023/08/17 (14:20:37) | INFO: Logger set to DEBUG
2023/08/17 (14:20:37) | DEBUG: Using locale en_US.UTF-8
2023/08/17 (14:20:37) | INFO: Running on /dev/pts/4
2023/08/17 (14:20:37) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/08/21 (21:55:38) | ===> btop++ v.1.2.13
2023/08/21 (21:55:38) | INFO: Logger set to DEBUG
2023/08/21 (21:55:38) | DEBUG: Using locale en_US.UTF-8
2023/08/21 (21:55:38) | INFO: Running on /dev/pts/6
2023/08/21 (21:55:38) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/08/22 (14:42:43) | ===> btop++ v.1.2.13
2023/08/22 (14:42:43) | INFO: Logger set to DEBUG
2023/08/22 (14:42:43) | DEBUG: Using locale en_US.UTF-8
2023/08/22 (14:42:43) | INFO: Running on /dev/pts/8
2023/08/22 (14:42:43) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/09/23 (19:05:03) | ===> btop++ v.1.2.13
2023/09/23 (19:05:03) | INFO: Logger set to DEBUG
2023/09/23 (19:05:03) | DEBUG: Using locale en_US.UTF-8
2023/09/23 (19:05:03) | INFO: Running on /dev/pts/5
2023/09/23 (19:05:03) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/09/27 (10:54:17) | ===> btop++ v.1.2.13
2023/09/27 (10:54:17) | INFO: Logger set to DEBUG
2023/09/27 (10:54:17) | DEBUG: Using locale en_US.UTF-8
2023/09/27 (10:54:17) | INFO: Running on /dev/pts/0
2023/09/27 (10:54:17) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/09/27 (11:02:51) | ===> btop++ v.1.2.13
2023/09/27 (11:02:51) | INFO: Logger set to DEBUG
2023/09/27 (11:02:51) | DEBUG: Using locale en_US.UTF-8
2023/09/27 (11:02:51) | INFO: Running on /dev/pts/0
2023/09/27 (11:02:51) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

